Customer Id,prediction
Q5OK4L2Q5XNH,0.9999385
CBHVMVE7TRP5,0.943972
9UGHQ91U4F0M,0.30105156
3UWXWMZK4ZGL,0.9982425
5CGEMLMBOPES,0.4407097
SPJ0K6KGDGN7,0.0005906499
9EFRT3UC3PDN,0.52881515
7BH09UOH5SVF,0.7795488
VYY6N0NLM8UE,0.0049150344
NVER903056B7,0.036380176
WRHLQZGSZ8L6,0.065922484
FU9LL0FQCNOP,0.023960356
PC4N9XPMSQSA,0.01056652
5N6XLMQL0V3K,0.9961552
EG7O0UFBKDUG,0.005154082
PY0ZWYLSCJZN,0.0001997834
N1UGI6V7H2WF,0.49795917
MZOC6IE8IMNV,0.99985504
HDPPLWUTUDQ1,0.99900347
ZCOU6WAGN26Y,0.024890812
MHVC11TV0MGA,0.9188949
WI63WG1KBKZ6,0.000108271095
T2IZWIEZDJ0C,0.0012867827
R0D8BZ9552RG,0.0014437662
SA7E3RJY86MZ,0.0037875911
XDNO84VA3P7H,0.36532453
5XA7H43SW76F,0.48173967
ZP06NQEP3Z6K,0.00017139805
AY113SQ9H4BJ,0.9999944
HLT8JUJLAJEF,0.2116153
Z2SZEAUNILWX,0.20499687
T3LZ5Y77PTZA,1.0815117e-07
CPE6L9FCCPOI,0.92892694
2WFF7OD1QSBB,0.99999976
40ZCZ5JB1EBG,0.114740625
9UJEWJSQ3LT1,0.65966034
1OUNUKM23I42,0.63350695
XU3RFC2L0LZG,0.99460346
UHEDKKMNF58W,0.9998883
9YWZ8J7UCMQ7,0.00013636635
4T2SO9DSWH9E,0.99583817
33E7RTVWQ3FN,0.0012867827
M9AQOH3SYYBR,0.021328324
FUTCMN69MGAH,5.0177685e-05
W9XOYIFUQPW4,0.19215709
JO9BNZRBO0CA,0.99999154
X72IQEIU1QKM,0.62697476
VCV8VAM4N7HS,0.16482523
MI48MY1LTM4M,0.9999871
WA6DE0HPRBMB,0.002557864
2YRA9VKRZOQE,0.0016024071
97I94WYVT5PC,0.9921714
FSM0JLCCR7AY,0.41565484
UPHJGLQV45WW,0.044984784
KW9LR65SYQGF,0.41519615
DQOTO5YKORYK,0.0014660989
UCXCBC9USUDU,0.7348805
7Z0GRZCXFSZ1,0.23309013
5CL12W44TUOV,3.0218924e-05
YAW9ZQTN585R,0.42403817
45RRIO9P4RJC,0.33635458
VGK40ERV74UP,0.10546299
KG6S0570ID9R,1.41324685e-08
5BXS7ANQ514H,0.05746311
H77VQDOX554E,0.08114163
YRCFUBSU5D1G,8.8440504e-07
0ULO02BLHX2H,0.8487178
B2SW8YEOZ708,0.0031867975
601HAL683PXN,0.0256322
FOM5OYRTB2CG,0.0049150344
9SNEPC1R7A40,0.0067434176
3YP8RJO1M9BF,0.023960356
FTF7UYBXX3WN,0.018343193
WV1LJL1E1TQG,0.0034495806
1BXKLACYUD7N,0.9999865
K8OV1RBD6NAS,6.2569704e-08
VR5BX4ZDA6HO,0.015240218
